county_name,pop_2020
Divide County,2195
Williams County,40950
McKenzie County,14704
Golden Valley County,1736
Slope County,706
Bowman County,2993
Burke County,2201
Mountrail County,9809
Dunn County,4095
Billings County,945
Stark County,33646
Hettinger County,2489
Adams County,2200
Renville County,2282
Ward County,69919
McLean County,9771
Mercer County,8350
Oliver County,1877
Morton County,33291
Grant County,2301
Sioux County,3898
Bottineau County,6379
McHenry County,5345
Sheridan County,1265
Burleigh County,98458
Emmons County,3301
Rolette County,12187
Pierce County,3990
Wells County,3982
Kidder County,2394
Logan County,1876
McIntosh County,2530
Towner County,2162
Benson County,5964
Stutsman County,21593
Ramsey County,11605
Eddy County,2347
Foster County,3397
LaMoure County,4093
Dickey County,4999
Cavalier County,3704
Walsh County,10563
Pembina County,6844
Nelson County,3015
Grand Forks County,73170
Griggs County,2306
Steele County,1798
Traill County,7997
Barnes County,10853
Cass County,184525
Ransom County,5703
Sargent County,3862
Richland County,16529