"therapy_id","mcid_thres","mean_prop_success","lower_bound","upper_bound"
"Cramer_IC_2019",4.2,0.720666666666667,0.633333333333333,0.8
"Cramer_IC_2019",4.4,0.71,0.616666666666667,0.8
"Cramer_IC_2019",4.6,0.7015,0.6,0.8
"Cramer_IC_2019",4.8,0.6915,0.583333333333333,0.792083333333333
"Cramer_IC_2019",5,0.681666666666667,0.583333333333333,0.784166666666666
"Cramer_IC_2019",5.2,0.671333333333333,0.566666666666667,0.766666666666667
"Cramer_IC_2019",5.4,0.662,0.557916666666667,0.75875
"Cramer_IC_2019",5.6,0.653833333333333,0.55,0.75
"Cramer_IC_2019",5.8,0.642333333333333,0.533333333333333,0.733333333333333
"Cramer_IC_2019",6,0.631833333333333,0.524583333333333,0.733333333333333
"Cramer_IC_2019",6.2,0.618666666666667,0.507916666666667,0.70875
"Cramer_IC_2019",6.4,0.608166666666667,0.483333333333333,0.7
"Cramer_IC_2019",6.6,0.597333333333333,0.483333333333333,0.683333333333333
"Cramer_IC_2019",6.8,0.585833333333333,0.466666666666667,0.683333333333333
"Cramer_IC_2019",7,0.5745,0.457916666666667,0.675416666666667
"Cramer_IC_2019",7.2,0.565,0.44125,0.65
"Cramer_TR_2019",4.2,0.712258064516129,0.588306451612903,0.806451612903226
"Cramer_TR_2019",4.4,0.701129032258065,0.580645161290323,0.806451612903226
"Cramer_TR_2019",4.6,0.69258064516129,0.580645161290323,0.790322580645161
"Cramer_TR_2019",4.8,0.682903225806452,0.572177419354839,0.766532258064516
"Cramer_TR_2019",5,0.671612903225806,0.556048387096774,0.758064516129032
"Cramer_TR_2019",5.2,0.660322580645161,0.53991935483871,0.750403225806451
"Cramer_TR_2019",5.4,0.649032258064516,0.523790322580645,0.734274193548387
"Cramer_TR_2019",5.6,0.63758064516129,0.507661290322581,0.725806451612903
"Cramer_TR_2019",5.8,0.626612903225806,0.5,0.709677419354839
"Cramer_TR_2019",6,0.614677419354839,0.5,0.709677419354839
"Cramer_TR_2019",6.2,0.603225806451613,0.491532258064516,0.693548387096774
"Cramer_TR_2019",6.4,0.593225806451613,0.475403225806452,0.67741935483871
"Cramer_TR_2019",6.6,0.579677419354839,0.459274193548387,0.669758064516129
"Cramer_TR_2019",6.8,0.568548387096774,0.451612903225806,0.653629032258064
"Cramer_TR_2019",7,0.557096774193548,0.435483870967742,0.653629032258064
"Cramer_TR_2019",7.2,0.545322580645161,0.435483870967742,0.645161290322581
"Cramer_TR_2021",4.2,0.816923076923077,0.575,1
"Cramer_TR_2021",4.4,0.796923076923077,0.538461538461538,1
"Cramer_TR_2021",4.6,0.771538461538462,0.498076923076923,1
"Cramer_TR_2021",4.8,0.751538461538462,0.498076923076923,1
"Cramer_TR_2021",5,0.733076923076923,0.461538461538462,0.963461538461538
"Cramer_TR_2021",5.2,0.707692307692308,0.461538461538462,0.923076923076923
"Cramer_TR_2021",5.4,0.673846153846154,0.384615384615385,0.923076923076923
"Cramer_TR_2021",5.6,0.65,0.344230769230769,0.923076923076923
"Cramer_TR_2021",5.8,0.626153846153846,0.307692307692308,0.923076923076923
"Cramer_TR_2021",6,0.600769230769231,0.307692307692308,0.886538461538461
"Cramer_TR_2021",6.2,0.581538461538462,0.267307692307692,0.886538461538461
"Cramer_TR_2021",6.4,0.549230769230769,0.226923076923077,0.846153846153846
"Cramer_TR_2021",6.6,0.518461538461539,0.190384615384615,0.769230769230769
"Cramer_TR_2021",6.8,0.487692307692308,0.153846153846154,0.732692307692307
"Cramer_TR_2021",7,0.458461538461538,0.153846153846154,0.692307692307692
"Cramer_TR_2021",7.2,0.431538461538462,0.153846153846154,0.692307692307692
"Daly_2019",4.2,0.770967741935484,0.612903225806452,0.903225806451613
"Daly_2019",4.4,0.760322580645161,0.612903225806452,0.903225806451613
"Daly_2019",4.6,0.749677419354839,0.595967741935484,0.887903225806451
"Daly_2019",4.8,0.739354838709677,0.595967741935484,0.887903225806451
"Daly_2019",5,0.729032258064516,0.595967741935484,0.887903225806451
"Daly_2019",5.2,0.721935483870968,0.580645161290323,0.887903225806451
"Daly_2019",5.4,0.71258064516129,0.580645161290323,0.887903225806451
"Daly_2019",5.6,0.700967741935484,0.563709677419355,0.870967741935484
"Daly_2019",5.8,0.691935483870968,0.563709677419355,0.855645161290322
"Daly_2019",6,0.681612903225806,0.548387096774194,0.855645161290322
"Daly_2019",6.2,0.672903225806452,0.531451612903226,0.806451612903226
"Daly_2019",6.4,0.665161290322581,0.531451612903226,0.791129032258064
"Daly_2019",6.6,0.653225806451613,0.516129032258065,0.791129032258064
"Daly_2019",6.8,0.64258064516129,0.516129032258065,0.774193548387097
"Daly_2019",7,0.633548387096774,0.499193548387097,0.774193548387097
"Daly_2019",7.2,0.621612903225806,0.483870967741935,0.774193548387097
"Dodakian_2017",4.2,0.5675,0.333333333333333,0.833333333333333
"Dodakian_2017",4.4,0.545,0.333333333333333,0.833333333333333
"Dodakian_2017",4.6,0.523333333333333,0.25,0.833333333333333
"Dodakian_2017",4.8,0.499166666666667,0.25,0.75
"Dodakian_2017",5,0.470833333333333,0.20625,0.75
"Dodakian_2017",5.2,0.4525,0.166666666666667,0.666666666666667
"Dodakian_2017",5.4,0.4325,0.166666666666667,0.666666666666667
"Dodakian_2017",5.6,0.406666666666667,0.166666666666667,0.666666666666667
"Dodakian_2017",5.8,0.3775,0.166666666666667,0.666666666666667
"Dodakian_2017",6,0.359166666666667,0.122916666666667,0.583333333333333
"Dodakian_2017",6.2,0.333333333333333,0.0833333333333333,0.583333333333333
"Dodakian_2017",6.4,0.3125,0.0833333333333333,0.5
"Dodakian_2017",6.6,0.298333333333333,0.0833333333333333,0.5
"Dodakian_2017",6.8,0.285833333333333,0.0833333333333333,0.5
"Dodakian_2017",7,0.268333333333333,0.0833333333333333,0.5
"Dodakian_2017",7.2,0.255833333333333,0.0833333333333333,0.5
"McCabe_2015",4.2,0.9725,0.833333333333333,1
"McCabe_2015",4.4,0.96,0.833333333333333,1
"McCabe_2015",4.6,0.950833333333333,0.789583333333333,1
"McCabe_2015",4.8,0.9325,0.70625,1
"McCabe_2015",5,0.915,0.70625,1
"McCabe_2015",5.2,0.896666666666667,0.666666666666667,1
"McCabe_2015",5.4,0.878333333333333,0.666666666666667,1
"McCabe_2015",5.6,0.863333333333333,0.622916666666667,1
"McCabe_2015",5.8,0.845833333333333,0.622916666666667,1
"McCabe_2015",6,0.816666666666667,0.5,1
"McCabe_2015",6.2,0.795833333333333,0.5,1
"McCabe_2015",6.4,0.769166666666667,0.45625,1
"McCabe_2015",6.6,0.736666666666667,0.45625,0.960416666666666
"McCabe_2015",6.8,0.684166666666667,0.333333333333333,0.960416666666666
"McCabe_2015",7,0.650833333333333,0.333333333333333,0.960416666666666
"McCabe_2015",7.2,0.616666666666667,0.333333333333333,0.916666666666667
"Ward_2019",4.2,0.999955357142857,1,1
"Ward_2019",4.4,0.999866071428571,0.99765625,1
"Ward_2019",4.6,0.999553571428571,0.995535714285714,1
"Ward_2019",4.8,0.999151785714286,0.995535714285714,1
"Ward_2019",5,0.998571428571429,0.993191964285714,1
"Ward_2019",5.2,0.9978125,0.991071428571429,1
"Ward_2019",5.4,0.99625,0.986607142857143,1
"Ward_2019",5.6,0.993839285714286,0.982142857142857,1
"Ward_2019",5.8,0.990803571428571,0.977678571428571,1
"Ward_2019",6,0.986651785714286,0.973214285714286,0.997879464285714
"Ward_2019",6.2,0.982008928571429,0.96875,0.995535714285714
"Ward_2019",6.4,0.974955357142857,0.955357142857143,0.991071428571429
"Ward_2019",6.6,0.964910714285714,0.939620535714286,0.986607142857143
"Ward_2019",6.8,0.950982142857143,0.919642857142857,0.973214285714286
"Ward_2019",7,0.933660714285714,0.90390625,0.959821428571429
"Ward_2019",7.2,0.911428571428571,0.868191964285714,0.941964285714286
